Time (s), Cell Name, Value
624.14808, C0, 0.3339271
624.2482, C0, 0.2395219
625.95024, C0, 0.1561788
626.35072, C0, 0.1179373
627.95264, C0, 0.1193879
628.35312, C0, 0.1348237
629.45444, C0, 0.1404159
630.35552, C0, 0.2391181
630.65588, C0, 0.3008011
630.756, C0, 0.1265666
631.05636, C0, 0.1030815
632.35792, C0, 0.138354
636.56296, C0, 0.3087799
640.56776, C0, 0.1106263
644.97304, C0, 0.1085621
646.17448, C0, 0.2025756
646.2746, C0, 0.4510861
646.37472, C0, 0.4647123
646.47484, C0, 0.1559135
646.57496, C0, 0.4701462
647.97664, C0, 0.3610698
648.277, C0, 0.4565741
648.37712, C0, 0.1323822
651.7812, C0, 0.1363923
652.48204, C0, 0.336611
652.58216, C0, 0.4532514
652.68228, C0, 0.2441544
652.7824000000001, C0, 0.2239216
653.283, C0, 0.137327
654.68468, C0, 0.1944977
657.68828, C0, 0.336591
670.60376, C0, 0.3128964
670.70388, C0, 0.2001504
670.804, C0, 0.1370207
671.20448, C0, 0.3791629
671.3046000000001, C0, 0.4671798
671.40472, C0, 0.1883267
671.5048399999999, C0, 0.320308
672.00544, C0, 0.1258322
672.10556, C0, 0.6899548
672.20568, C0, 0.339205
672.50604, C0, 0.2040569
672.60616, C0, 0.1943716
673.10676, C0, 0.1286334
673.50724, C0, 0.3804267
673.8076, C0, 0.1464987
674.00784, C0, 0.1912706
674.3082000000001, C0, 0.1438851
674.40832, C0, 0.1484648
675.00904, C0, 0.1828683
676.01024, C0, 0.1267765
678.51324, C0, 0.1103058
679.41432, C0, 0.1936609
680.01504, C0, 0.1799769
680.1151599999999, C0, 0.211069
680.51564, C0, 0.1102876
680.71588, C0, 0.1846384
682.41792, C0, 0.1419641
682.61816, C0, 0.1305532
684.3202, C0, 0.2580026
684.72068, C0, 0.4701992
687.62416, C0, 0.133571
692.12956, C0, 0.1440928
692.22968, C0, 0.1034727
698.43712, C0, 0.2122677
698.53724, C0, 0.1746323
698.73748, C0, 0.1403585
699.03784, C0, 0.1432216
699.43832, C0, 0.156952
702.24168, C0, 0.1056784
707.0474400000001, C0, 0.1013743
712.45392, C0, 0.1326303
713.75548, C0, 0.1186701
715.15716, C0, 0.3112974
715.25728, C0, 0.1441116
715.3574, C0, 0.4187232
715.45752, C0, 0.2367398
715.55764, C0, 0.3305859
715.6577600000001, C0, 0.4337338
715.75788, C0, 0.1986186
715.8579999999999, C0, 0.3206429
715.95812, C0, 0.3286649
716.15836, C0, 0.1457741
716.25848, C0, 0.2537549
716.45872, C0, 0.1455705
716.55884, C0, 0.1591907
716.65896, C0, 0.3132587
716.75908, C0, 0.1417614
716.8592, C0, 0.2107923
716.95932, C0, 0.2516449
717.1595600000001, C0, 0.1251019
717.56004, C0, 0.3786103
717.96052, C0, 0.1469186
720.3634, C0, 0.1157117
720.864, C0, 0.283132
721.56484, C0, 0.2723846
722.3658, C0, 0.2484733
723.66736, C0, 0.2543794
723.76748, C0, 0.2755632
723.8676, C0, 0.2857043
726.27048, C0, 0.1543941
726.47072, C0, 0.1435778
736.3826, C0, 0.138595
738.18476, C0, 0.2736497
738.6853599999999, C0, 0.2267921
740.48752, C0, 0.1481186
740.68776, C0, 0.2546377
740.78788, C0, 0.1718226
740.98812, C0, 0.1232233
743.19076, C0, 0.1511827
743.29088, C0, 0.1103458
743.49112, C0, 0.1008248
744.19196, C0, 0.1768674
744.2920800000001, C0, 0.1152316
744.99292, C0, 0.1749699
745.09304, C0, 0.149688
748.5972400000001, C0, 0.1001835
749.09784, C0, 0.3542667
749.8988000000001, C0, 0.129333
756.70696, C0, 0.1015219
759.10984, C0, 0.1556762
759.4102, C0, 0.2091453
760.0109200000001, C0, 0.1083481
760.11104, C0, 0.1042977
760.4114, C0, 0.1315929
760.51152, C0, 0.1981115
763.61524, C0, 0.1324814
765.01692, C0, 0.1078187
765.31728, C0, 0.1148035
765.6176400000001, C0, 0.2036793
772.4258, C0, 0.1118587
772.72616, C0, 0.2474726
772.82628, C0, 0.2108124
773.02652, C0, 0.1470906
775.32928, C0, 0.1563805
776.9312, C0, 0.1548261
777.4318, C0, 0.1399526
777.63204, C0, 0.1185926
778.33288, C0, 0.1743508
780.53552, C0, 0.139386
781.23636, C0, 0.1955072
781.3364800000001, C0, 0.1756456
782.33768, C0, 0.3489692
782.63804, C0, 0.1136253
783.0385199999999, C0, 0.1282082
786.4426, C0, 0.1079394
787.64404, C0, 0.1388741
787.74416, C0, 0.5161086
792.14944, C0, 0.1430648
792.24956, C0, 0.5550718
792.34968, C0, 0.6025425
792.4498, C0, 0.190969
792.54992, C0, 0.2161681
792.65004, C0, 0.3518195
792.7501600000001, C0, 0.296713
792.85028, C0, 0.1051075
792.9503999999999, C0, 0.155332
793.15064, C0, 0.1949946
793.25076, C0, 0.1150993
793.35088, C0, 0.1594607
793.451, C0, 0.2803389
793.65124, C0, 0.4265399
793.75136, C0, 0.2883538
794.15184, C0, 0.2839855
794.2519600000001, C0, 0.3218725
794.35208, C0, 0.1155086
795.35328, C0, 0.1020017
795.4534, C0, 0.2052912
796.9552, C0, 0.1829924
798.9576, C0, 0.3454188
799.05772, C0, 0.1046662
801.76096, C0, 0.1463997
802.4618, C0, 0.1044362
811.37248, C0, 0.1612745
811.77296, C0, 0.1201452
812.07332, C0, 0.151058
813.07452, C0, 0.3422437
816.9792, C0, 0.1168547
817.0793200000001, C0, 0.3331251
817.17944, C0, 0.3103552
817.2795599999999, C0, 0.4858268
817.37968, C0, 0.6173184
817.57992, C0, 0.3785572
817.68004, C0, 0.2599775
818.38088, C0, 0.1468629
819.18184, C0, 0.1995565
819.28196, C0, 0.345328
829.89468, C0, 0.1825824
829.9948000000001, C0, 0.1113452
830.39528, C0, 0.1551428
830.4954, C0, 0.3064601
830.59552, C0, 1
830.69564, C0, 0.1375873
830.79576, C0, 0.3448525
830.89588, C0, 0.1109222
831.29636, C0, 0.1092508
831.59672, C0, 0.1456591
834.40008, C0, 0.157837
834.60032, C0, 0.1625984
835.0008, C0, 0.1531865
835.30116, C0, 0.1205238
835.5014, C0, 0.1579407
836.10212, C0, 0.2043174
836.20224, C0, 0.1549529
836.30236, C0, 0.1998284
840.5074, C0, 0.5364648
840.60752, C0, 0.2014646
845.9138799999999, C0, 0.1321817
846.11412, C0, 0.1634573
846.21424, C0, 0.2495208
849.31796, C0, 0.1348376
849.41808, C0, 0.7022865
849.5182, C0, 0.1177574
849.61832, C0, 0.2841685
849.71844, C0, 0.3362202
849.91868, C0, 0.5485752
850.0188000000001, C0, 0.1178676
852.0212, C0, 0.105307
858.0284, C0, 0.2186848
858.12852, C0, 0.6546039
858.22864, C0, 0.439205
858.529, C0, 0.1394092
863.33476, C0, 0.495565
863.73524, C0, 0.109285
863.93548, C0, 0.147692
864.63632, C0, 0.1161486
866.23824, C0, 0.1702233
866.5386, C0, 0.2383896
866.83896, C0, 0.1064669
867.94028, C0, 0.2629122
868.7412399999999, C0, 0.2784072
868.94148, C0, 0.1563855
869.5422, C0, 0.1369114
871.3443600000001, C0, 0.1001187
871.44448, C0, 0.3213341
871.5445999999999, C0, 0.2868515
871.64472, C0, 0.1587484
871.84496, C0, 0.1531897
872.94628, C0, 0.2311774
873.0463999999999, C0, 0.1279901
873.14652, C0, 0.1029228
874.44808, C0, 0.2931258
874.5482, C0, 0.147406
876.35036, C0, 0.1878151
876.65072, C0, 0.2558993
877.1513200000001, C0, 0.1030207
880.95588, C0, 0.2068343
881.15612, C0, 0.1004306
881.4564800000001, C0, 0.1276396
882.5578, C0, 0.133816
882.65792, C0, 0.2038227
882.85816, C0, 0.4293115
883.0584, C0, 0.2519869
883.75924, C0, 0.1204783
884.2598400000001, C0, 0.1441027
884.35996, C0, 0.2478689
888.7652399999999, C0, 0.4786002
888.86536, C0, 0.1982664
889.36596, C0, 0.2279142
889.46608, C0, 0.2225667
889.86656, C0, 0.1100078
891.46848, C0, 0.1444391
892.0692, C0, 0.1277529
892.26944, C0, 0.1240332
895.97388, C0, 0.1317121
896.37436, C0, 0.1445284
897.27544, C0, 0.1659831
897.37556, C0, 0.1460122
898.577, C0, 0.1441508
899.17772, C0, 0.1765105
899.67832, C0, 0.2270785
899.87856, C0, 0.156559
900.1789199999999, C0, 0.1880928
900.47928, C0, 0.1069598
900.67952, C0, 0.1372189
900.77964, C0, 0.2345299
900.87976, C0, 0.3600401
901.78084, C0, 0.1335667
901.88096, C0, 0.3848083
902.0812, C0, 0.4244975
902.28144, C0, 0.1229328
902.38156, C0, 0.1726717
902.48168, C0, 0.1549427
907.78804, C0, 0.3874303
907.88816, C0, 0.1718695
907.98828, C0, 0.1753201
911.49248, C0, 0.1753357
911.99308, C0, 0.1319692
912.0932, C0, 0.3634681
912.29344, C0, 0.3021787
914.99668, C0, 0.4650518
915.0968, C0, 0.6006064
915.19692, C0, 0.1786456
915.29704, C0, 0.3891006
915.39716, C0, 0.205546
915.49728, C0, 0.5621153
915.6975200000001, C0, 0.3077993
915.79764, C0, 0.2419349
915.99788, C0, 0.1207474
916.098, C0, 0.1765682
916.19812, C0, 0.4158343
916.29824, C0, 0.209438
916.49848, C0, 0.3833252
917.0992, C0, 0.1100294
917.69992, C0, 0.1112095
918.5008800000001, C0, 0.1618632
920.70352, C0, 0.1656808
921.104, C0, 0.4783716
922.1052, C0, 0.1414592
928.91336, C0, 0.11214
929.51408, C0, 0.4546425
929.71432, C0, 0.6056671
929.81444, C0, 0.4491459
929.9145600000001, C0, 0.1347971
930.01468, C0, 0.2799173
930.31504, C0, 0.6310492
930.91576, C0, 0.1962416
931.01588, C0, 0.3579889
931.116, C0, 0.1225825
931.21612, C0, 0.5511858
935.6214, C0, 0.2238521
936.22212, C0, 0.1709279
941.128, C0, 0.1947204
941.22812, C0, 0.1461166
941.3282400000001, C0, 0.2095487
946.53448, C0, 0.2232914
947.73592, C0, 0.1767323
949.03748, C0, 0.1515639
950.83964, C0, 0.2702329
950.93976, C0, 0.151213
951.03988, C0, 0.132539
953.34264, C0, 0.1266324
954.04348, C0, 0.1675726
956.6466, C0, 0.1073985
956.74672, C0, 0.1401618
957.0470800000001, C0, 0.125546
959.85044, C0, 0.1187026
963.45476, C0, 0.1449667
963.55488, C0, 0.1927579
963.655, C0, 0.3896849
963.75512, C0, 0.3461584
963.85524, C0, 0.2142929
963.95536, C0, 0.3523328
964.05548, C0, 0.1488719
