Time (s), Cell Name, Value
12.11, C59,0.11
12.11, C62,0.1
12.21, C28,0.1
12.21, C44,0.21
12.21, C56,0.14
12.31, C40,0.37
12.31, C49,0.11
12.31, C54,0.22
12.31, C59,0.21
12.41, C5,0.15
12.41, C12,0.15
12.41, C13,0.12
12.41, C40,0.16
12.41, C54,0.62
12.41, C59,0.24
12.41, C60,0.13
12.41, C61,0.14
12.52, C44,0.12
12.52, C56,0.19
12.52, C59,0.34
12.62, C13,0.1
12.62, C18,0.21
12.62, C22,0.18
12.62, C40,0.16
12.62, C59,0.2
12.72, C2,0.12
12.72, C13,0.1
12.72, C62,0.14
12.92, C28,0.14
12.92, C40,0.67
12.92, C41,0.11
12.92, C44,0.16
13.02, C16,0.11
13.02, C38,0.19
13.02, C47,0.22
13.02, C62,0.15
13.12, C2,0.11
13.12, C9,0.2
13.12, C13,0.1
13.12, C16,0.22
13.12, C21,0.13
13.12, C27,0.15
13.12, C40,0.37
13.12, C47,0.11
13.22, C10,0.15
13.22, C49,0.1
13.22, C54,0.11
13.32, C5,0.14
13.32, C21,0.24
13.32, C40,0.67
13.32, C43,0.13
13.32, C54,0.27
13.42, C0,0.14
13.42, C21,0.11
13.42, C54,0.41
13.52, C0,0.27
13.52, C1,0.33
13.52, C15,0.1
13.62, C0,0.2
13.62, C16,0.2
13.62, C22,0.1
13.72, C1,0.34
13.72, C2,0.15
13.72, C18,0.13
13.72, C40,0.23
13.72, C43,0.13
13.72, C54,0.4
13.82, C0,0.66
13.82, C1,0.6
13.82, C13,0.22
13.82, C25,0.2
13.82, C43,0.13
13.82, C54,0.15
13.92, C54,0.23
14.02, C24,0.11
14.02, C38,0.16
14.02, C40,0.69
14.02, C48,0.19
14.02, C56,0.11
14.12, C12,0.14
14.12, C23,0.14
14.12, C40,0.4
14.22, C56,0.14
14.32, C5,0.1
14.32, C23,0.11
14.32, C24,0.16
14.32, C40,0.26
14.42, C15,0.13
14.42, C54,0.15
14.52, C12,0.15
14.62, C40,0.2
14.62, C54,0.11
14.72, C12,0.42
14.72, C20,0.18
14.72, C21,0.2
14.72, C35,0.1
14.72, C40,0.28
14.72, C43,0.18
14.82, C13,0.34
14.82, C22,0.13
14.82, C62,0.22
14.92, C27,0.15
14.92, C43,0.16
15.02, C2,0.15
15.12, C1,0.15
15.12, C12,0.12
15.12, C40,0.2
15.22, C2,0.13
15.22, C12,0.14
15.22, C40,0.7
15.22, C41,0.15
15.22, C47,0.16
15.32, C9,0.15
15.32, C47,0.34
15.42, C9,0.1
15.42, C43,0.22
15.42, C44,0.16
15.52, C21,0.18
15.52, C40,0.44
15.62, C1,0.25
15.62, C16,0.11
15.72, C15,0.1
15.72, C21,0.11
15.72, C40,0.92
15.82, C5,0.13
15.92, C1,0.23
15.92, C5,0.15
15.92, C12,0.14
15.92, C34,0.1
16.02, C0,0.14
16.02, C1,0.18
16.02, C40,0.18
16.12, C0,0.36
16.12, C1,0.48
16.12, C18,0.17
16.12, C23,0.57
16.12, C42,0.18
16.12, C56,0.26
16.22, C23,0.34
16.22, C40,0.28
16.22, C56,0.14
16.32, C40,0.11
16.42, C12,0.12
16.42, C38,0.2
16.42, C40,0.25
16.52, C21,0.47
16.62, C2,0.11
16.62, C12,0.13
16.62, C22,0.11
16.72, C2,0.21
16.72, C12,0.28
16.72, C27,0.12
16.72, C43,0.11
16.82, C12,0.38
16.82, C24,0.22
16.82, C40,0.29
16.82, C43,0.18
16.82, C56,0.1
16.92, C12,0.39
16.92, C25,0.13
16.92, C26,0.51
17.02, C12,0.37
17.02, C26,0.18
17.02, C35,0.11
17.02, C40,0.23
17.12, C40,0.25
17.12, C43,0.12
17.12, C56,0.11
17.22, C9,0.17
17.22, C21,0.21
17.22, C24,0.12
17.22, C28,0.14
17.22, C33,0.12
17.32, C26,0.13
17.32, C38,0.11
17.32, C44,0.11
17.32, C59,0.11
17.42, C1,0.15
17.42, C27,0.14
17.42, C40,0.82
17.42, C41,0.17
17.52, C13,0.23
17.52, C21,0.23
17.62, C26,0.3
17.72, C2,0.26
